# A monthly peak is the highest average grid-import power recorded during a 15-minute interval in that local calendar month.
month,no_battery_kw,reference_kw,self_consumption_kw,peak_reduction_kw,revenue_kw,dynamic_injection_kw
2024-01,115.5,115.5,65.5,65.5,65.5,65.5
2024-02,90.2,40.2,40.2,40.2,40.2,40.2
2024-03,18.7,17.6,3.223591603053432,3.223591603053432,3.223591603053432,3.223591603053432
2024-04,84.7,34.7,34.7,34.7,34.7,34.7
2024-05,122.1,72.1,72.1,72.1,72.1,72.1
2024-06,77.0,27.0,27.0,27.0,27.0,27.0
2024-07,60.5,42.9,10.5,10.5,10.5,10.5
2024-08,143.0,143.0,93.0,93.0,93.0,93.0
2024-09,105.6,105.6,60.838403846153845,60.838403846153845,60.838403846153845,60.838403846153845
2024-10,103.4,103.4,53.400000000000006,53.400000000000006,53.400000000000006,53.400000000000006
2024-11,206.8,206.8,156.800000004,156.800000004,156.800000004,156.800000004
2024-12,117.7,115.5,81.14766549295776,81.14766554095766,81.14766549295776,81.14766549295776
