candidate_id,duration_hours,power_kw,usable_energy_kwh,estimated_capex_eur,period_revenue_uplift_eur,annual_revenue_uplift_eur,total_energent_pv_revenue_eur,simple_payback_years,estimated_value_eur,payback_within_evaluation_period,useful_pv_delivered_kwh,additional_useful_pv_kwh,grid_import_kwh,grid_export_kwh,baseline_annual_peak_kw,annual_peak_kw,annual_peak_reduction_kw,annual_peak_reduction_pct,baseline_average_monthly_peak_kw,average_monthly_peak_kw,average_monthly_peak_reduction_kw,average_monthly_peak_reduction_pct,average_monthly_peak_n_complete_months,charge_pv_kwh,discharge_load_kwh,total_loss_kwh,stored_throughput_kwh,equivalent_full_cycles,allowed_equivalent_full_cycles,remaining_equivalent_full_cycles_allowance,cycle_limit_binding,soc_initial_kwh,soc_final_kwh,solver_status,solver_runtime_s,solver_num_vars,solver_num_constrs,solver_num_int_vars,solver_num_bin_vars,continuous_lp,feasibility_ok,exceeds_p95_daily_pv_surplus,exceeds_p95_daily_import
c001_5kW_10kWh,2,5,10,3000,295.8413043878209,295.8413043878209,16714.85270438782,10.14057183870199,-41.58695612179145,False,44569.35500000011,3800.000000000111,50363.4499999999,218002.3986842104,206.8,201.8,5,2.41779497098646,103.7666666666667,98.76666666666667,5,4.8185030517186,12,4210.526315789596,3800.000000000111,410.526315789486,8000.000000000234,400.0000000000117,400,0,True,0,0,OPTIMAL,0.3379998207092285,105409,70276,0,0,True,True,False,False
c002_10kW_20kWh,2,10,20,6000,567.3112863587048,567.3112863587048,16986.3226863587,10.57620418326433,-326.8871364129518,False,48089.525897995,7320.170897995,46843.27910200501,214096.4623154181,206.8,196.8,10,4.835589941972921,103.7666666666667,93.78958333333333,9.97708333333334,9.614921297783495,12,8167.095247044396,7320.170897995,796.2917865868292,15517.48096938435,387.9370242346088,400,12.06297576539123,False,0,0,OPTIMAL,0.309999942779541,105409,70276,0,0,True,True,False,False
c003_20kW_40kWh,2,20,40,12000,1047.263731146078,1047.263731146078,17466.27513114608,11.45843176185213,-1527.362688539215,False,54404.59613296563,13635.24113296562,40528.20886703438,207101.897148207,206.8,186.8,20,9.671179883945841,103.7666666666667,84.38095238095238,19.38571428571429,18.68202468909183,12,15136.27403925551,13635.24113296562,1475.786718827413,28758.92067458546,359.4865084323183,400,40.51349156768174,False,0,0,OPTIMAL,0.242999792098999,105409,70276,0,0,True,True,False,False
c004_50kW_100kWh,2,50,100,30000,1898.063732016992,1898.063732016992,18317.07513201699,15.80558096862231,-11019.36267983008,False,65447.23433524827,24677.87933524826,29485.57066475174,194846.8938506638,206.8,156.800000004,49.99999999600001,24.17794970793037,103.7666666666667,58.20080507884708,45.56586158781958,43.91184862301919,12,27570.78783679909,24677.87933524826,2688.151814087912,52384.49688991824,261.9224844495912,400,138.0775155504088,False,0,0,OPTIMAL,0.3289999961853027,105409,70276,0,0,True,True,False,False
c005_100kW_200kWh,2,100,200,60000,2342.901695128774,2342.901695128774,18761.91309512877,25.60926910623204,-36570.98304871226,False,70258.13843749881,29488.78343749881,24674.66656250119,189453.8132603932,206.8,106.800000004,99.999999996,48.35589941779497,103.7666666666667,28.66354559782833,75.10312106883833,72.37692361275779,12,33541.82873956946,29488.78343749881,3270.328302108026,63729.47460518197,159.3236865129549,400,240.676313487045,False,0,0,OPTIMAL,0.3270001411437988,105409,70276,0,0,True,True,False,False
c006_150kW_300kWh,2,150,300,90000,2551.238643773191,2551.238643773191,18970.25004377319,35.27698211206663,-64487.61356226809,False,71681.98024999927,30912.62524999927,23250.82475000074,187785.4126232736,206.8,77.67505092992589,129.1249490700741,62.43953049810161,103.7666666666667,17.10613069547218,86.66053597119449,83.51481140815403,12,36050.12437668911,30912.62524999927,3514.887126727191,68495.23631570931,114.1587271928488,400,285.8412728071511,False,0,0,OPTIMAL,0.2980000972747803,105409,70276,0,0,True,True,False,False
c007_200kW_400kWh,2,200,400,120000,2703.524878162032,2703.524878162032,19122.53627816203,44.38649740910872,-92964.75121837968,False,72302.49306249918,31533.13806249919,22630.31193750082,186947.5215486545,206.8,73.51303086819749,133.2869691318025,64.45211273297994,103.7666666666667,14.04535473386095,89.72131193280572,86.46448307048414,12,38279.64501380808,31533.13806249919,3732.265388846291,72731.32552623535,90.91415690779418,400,309.0858430922058,False,0,0,OPTIMAL,0.3180000782012939,105409,70276,0,0,True,True,False,False
c008_250kW_500kWh,2,250,500,150000,2836.096263965363,2836.096263965363,19255.10766396536,52.88960107097125,-121639.0373603464,False,72759.04643749922,31989.69143749921,22173.7585625008,186275.1982631628,206.8,71.95455714685711,134.8454428531429,65.20572671815421,103.7666666666667,12.7070536015539,91.05961306511277,87.75420468851215,12,40492.66973679991,31989.69143749921,3948.035299337995,76936.07249991981,76.93607249991982,400,323.0639275000802,False,0,0,OPTIMAL,0.312000036239624,105409,70276,0,0,True,True,False,True
c009_300kW_600kWh,2,300,600,180000,2948.824148567161,2948.824148567161,19367.83554856716,61.04127982248868,-150511.7585143284,False,73044.0464374992,32274.69143749919,21888.75856250081,185747.0226556491,206.8,70.40353673869384,136.3964632613062,65.9557365867051,103.7666666666667,12.35685585485279,91.40981081181388,88.091690470749,12,42986.77853181345,32274.69143749919,4191.210906851817,81674.87921044558,68.06239934203798,400,331.937600657962,False,0,0,OPTIMAL,0.2569997310638428,105409,70276,0,0,True,True,False,True
c010_5kW_20kWh,4,5,20,6000,524.1532828753407,524.1532828753407,16943.16468287534,11.44703314092756,-758.4671712465934,False,47646.52172256795,6877.166722567951,47286.28327743206,214592.7956675147,206.8,201.8,5,2.41779497098646,103.7666666666667,98.76666666666667,5,4.8185030517186,12,7620.129332485264,6877.166722567951,742.9626099173139,14478.24573172201,361.9561432930501,400,38.04385670694987,False,0,0,OPTIMAL,0.2239999771118164,105409,70276,0,0,True,True,False,False
